"","1_D","1_E","1_F","1_G","1_H","1_I","1_J","2_D","2_E","2_F","2_G","2_H","2_I","2_J","3_D","3_E","3_F","3_G","3_H","3_I","3_J","4_D","4_E","4_F","4_G","4_H","4_I","4_J","Ref"
"APR",14.5011247718412,15.8372787981046,16.6890058645741,17.5433572223306,18.4843010670117,19.2748357118088,20.096377385294,14.5119153181028,15.8947614311128,16.7482613744162,17.4844159715899,18.4383785095091,19.2236047742151,20.1392565276257,14.5232632527307,15.9754785266357,16.7403148480449,17.6163958121716,18.4472869691876,19.2591880789093,20.1338418619242,14.4710642608076,15.9940874520045,16.7632968031004,17.5868535651139,18.3781675051009,19.2711458485218,20.1152122540052,17.6909989717165
"CRP",17.3864703747672,18.3995365654288,19.0636157573642,19.7535072204297,20.5315741519548,21.3275876332987,22.1345293046687,17.3657490696315,18.3572611389638,19.0450553475297,19.7973626829647,20.5104110009101,21.3148823871375,22.1223601738848,17.3584006678225,18.3859892425457,19.0541371068375,19.7303068711232,20.5208349017274,21.3261580523328,22.1142189836518,17.3645728336846,18.4052443997742,19.0912713119629,19.7934930646272,20.544324217276,21.319844697321,22.1153868318064,19.6455956042456
"HRP",14.3873097378187,15.6485196028537,16.6634780693569,17.5438844749943,18.4426304893927,19.2925024166466,20.1467101297069,14.5881395039925,15.8619260615985,16.7611256814873,17.4977682436313,18.3928505113382,19.3433399572471,20.0971077573768,14.518850996913,15.8783184794058,16.4897282828889,17.5464717980521,18.417720120411,19.2340129966406,20.1536602640053,14.0218883865125,15.9513437353165,16.5862491364864,17.516104728255,18.4670077139214,19.3313642849258,20.1550478213838,16.9104734686227
"LEP",14.0313659643037,15.5201464763179,16.3806499845567,17.2755243815407,18.042899908064,18.9214107681077,19.8053245784283,14.1820620497902,15.5659623067756,16.4869902916289,17.3493070723819,18.1131662360414,18.9484273133456,19.8311361274406,14.2002213697876,15.6753492196148,16.4116869637531,17.1736262846275,18.0881783600042,18.929398619337,19.7655931431216,14.0902969937113,15.5235348211392,16.4674258110065,17.2321339586443,18.0906167670791,18.8936315637689,19.8432632028652,19.1084404673131
"MBP",16.9724383664024,18.2501576835412,18.9567557076419,19.673846708419,20.4615367064409,21.233248143098,22.0773515114703,16.9497274864057,18.1706580758172,18.9909893455839,19.6638996417032,20.4708402210768,21.2856962388543,22.049435221955,16.9059697309258,18.1980441028674,18.9640817351741,19.6623053175024,20.4582935654688,21.2369259862487,22.0358454329913,16.9236941005558,18.2015857304593,18.9346846104601,19.6767371374796,20.4567071335663,21.2692408065968,22.0517942186407,18.999272917375
"MYO",17.6295002333045,19.167407173234,20.0347417184899,20.8813797569361,21.7425622803815,22.5582621466112,23.3936886419938,17.6903667862983,19.1966118909996,20.0284543381012,20.8780712945906,21.7269426508261,22.5634618612918,23.4080629699415,17.7541975532899,19.1713593819656,20.0309066999004,20.8811317515771,21.7148729334831,22.5597646581368,23.4056630929763,17.6803170769696,19.1791040912276,20.0452931991181,20.8799243041842,21.7293211665969,22.5512629533276,23.4108452050859,19.7842840869055
"PSA",15.6084039981902,17.111423662518,17.8728015177157,18.723821075467,19.4824575038926,20.3722676173765,21.1629588102331,15.6369967811512,17.0613027152804,17.9470148598245,18.7260860781659,19.5904308490499,20.3346075220066,21.1485343765306,15.5493005766723,17.043386877949,17.9233654341753,18.7689363763109,19.5819358223718,20.363434721237,21.140625784751,15.5102419547326,16.9867226761653,17.8937204794725,18.7122217452554,19.5363167334613,20.3561260039379,21.1229376844414,17.692689094771
