"","D","E","F","G","H","I","J"
"APR",14.5018419008706,15.9254015519644,16.7352197225339,17.5577556428015,18.4370335127023,19.2571936033637,20.1211720072123
"CRP",17.3687982364765,18.3870078366781,19.0635198809236,19.7686674597862,20.5267860679671,21.3221181925225,22.1216238235029
"HRP",14.3790471563092,15.8350269697936,16.6251452925549,17.5260573112332,18.4300522087658,19.300304913865,20.1381314931182
"LEP",14.1259865943982,15.5712482059619,16.4366882627363,17.2576479242986,18.0837153177972,18.9232170661398,19.8113292629639
"MBP",16.9379574210724,18.2051113981713,18.961627849715,19.6691972012761,20.4618444066382,21.2562777936995,22.0536065962643
"MYO",17.6885954124656,19.1786206343567,20.0348489889024,20.880126776822,21.7284247578219,22.5581879048419,23.4045649774994
"PSA",15.5762358276866,17.0507089829782,17.909225572797,18.7327663187998,19.5477852271939,20.3566089661395,21.143764163989
